"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"ERX6313171","https://tolit.cog.sanger.ac.uk/test-data/Meles_meles/genomic_data/mMelMel3/hic/ERX6313171_ERR6688402_1.fastq.gz","https://tolit.cog.sanger.ac.uk/test-data/Meles_meles/genomic_data/mMelMel3/hic/ERX6313171_ERR6688402_2.fastq.gz","ERR6688402","ERX6313171","SAMEA7524440","ERS5280915","PRJEB46293","ERP130515","ERA6146107","SC_RUN_35528_2#1","SC_EXP_35528_2#1","5fa2ad267b7818000114573f","ena-tol-mMelMel-study-rawdata-20210714","PAIRED","Restriction Digest","GENOMIC","Hi-C","","Illumina NovaSeq 6000","ILLUMINA","366936105836","2430040436","9662","Meles meles","e1532e75-4662-492f-a96f-538ea7b7fb32-dtol","Illumina NovaSeq 6000 paired end sequencing","Meles meles (European badger), genomic and transcriptomic data","e1532e75-4662-492f-a96f-538ea7b7fb32-dtol","0336b8c005957baf07a349058a96ed34;7b3f305cce37bd757cc3367c1ec3c189","90886868167;95309362663","ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/002/ERR6688402/ERR6688402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/002/ERR6688402/ERR6688402_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/002/ERR6688402/ERR6688402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/002/ERR6688402/ERR6688402_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR668/002/ERR6688402/ERR6688402_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR668/002/ERR6688402/ERR6688402_2.fastq.gz"
"ERX6313368","https://tolit.cog.sanger.ac.uk/test-data/Meles_meles/genomic_data/mMelMel1/illumina/ERX6313368_ERR6688599_1.fastq.gz","https://tolit.cog.sanger.ac.uk/test-data/Meles_meles/genomic_data/mMelMel1/illumina/ERX6313368_ERR6688599_2.fastq.gz","ERR6688599","ERX6313368","SAMEA7524438","ERS5280913","PRJEB46293","ERP130515","ERA6146762","SC_RUN_31231_3#1","SC_EXP_31231_3#1","5fa2ad267b7818000114573d","ena-tol-mMelMel-study-rawdata-20210714","PAIRED","RANDOM","GENOMIC","WGS","","HiSeq X Ten","ILLUMINA","120152224496","795710096","9662","Meles meles","4dd50540-35e9-4a6d-b64e-0817937e4f82-dtol","HiSeq X Ten paired end sequencing","Meles meles (European badger), genomic and transcriptomic data","4dd50540-35e9-4a6d-b64e-0817937e4f82-dtol","dedc53913845adac6d86c8886e6134ce;5567a519c77a8b026d405d7e17c8deb4","36248396388;41472867314","ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/009/ERR6688599/ERR6688599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/009/ERR6688599/ERR6688599_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/009/ERR6688599/ERR6688599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/009/ERR6688599/ERR6688599_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR668/009/ERR6688599/ERR6688599_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR668/009/ERR6688599/ERR6688599_2.fastq.gz"
"ERX6313369","https://tolit.cog.sanger.ac.uk/test-data/Meles_meles/genomic_data/mMelMel2/illumina/ERX6313369_ERR6688600_1.fastq.gz","https://tolit.cog.sanger.ac.uk/test-data/Meles_meles/genomic_data/mMelMel2/illumina/ERX6313369_ERR6688600_2.fastq.gz","ERR6688600","ERX6313369","SAMEA7524439","ERS5280914","PRJEB46293","ERP130515","ERA6146762","SC_RUN_31231_4#1","SC_EXP_31231_4#1","5fa2ad267b7818000114573e","ena-tol-mMelMel-study-rawdata-20210714","PAIRED","RANDOM","GENOMIC","WGS","","HiSeq X Ten","ILLUMINA","116396499646","770837746","9662","Meles meles","645b1826-4e21-4aa2-83c7-3ec052175aa3-dtol","HiSeq X Ten paired end sequencing","Meles meles (European badger), genomic and transcriptomic data","645b1826-4e21-4aa2-83c7-3ec052175aa3-dtol","c9064ab46f59cfa30856a99bff346658;74d8f9a3763e3adb9c5aa779d6360ecc","35275753558;39130324645","ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/000/ERR6688600/ERR6688600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/000/ERR6688600/ERR6688600_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/000/ERR6688600/ERR6688600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR668/000/ERR6688600/ERR6688600_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR668/000/ERR6688600/ERR6688600_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR668/000/ERR6688600/ERR6688600_2.fastq.gz"
"ERX6561466","https://tolit.cog.sanger.ac.uk/test-data/Meles_meles/genomic_data/mMelMel3/pacbio/ERX6561466_ERR6939248.fastq.gz","","ERR6939248","ERX6561466","SAMEA7524440","ERS5280915","PRJEB46293","ERP130515","ERA6576004","SC_PacBio_RUN_r64094_20200910_171952/1_A01:s1:t1022","SC_PacBio_EXP_r64094_20200910_171952/1_A01:s1:t1022","5fa2ad267b7818000114573f","ena-tol-mMelMel-study-rawdata-20210714","SINGLE","RANDOM","GENOMIC","WGS","DN615654G-A1","Sequel II","PACBIO_SMRT","14164482609","916431","9662","Meles meles","e1532e75-4662-492f-a96f-538ea7b7fb32-dtol","Sequel II sequencing","Meles meles (European badger), genomic and transcriptomic data","e1532e75-4662-492f-a96f-538ea7b7fb32-dtol","ddf1c1d14e9c54e02a01bb544071e12b","13846628515","ftp.sra.ebi.ac.uk/vol1/fastq/ERR693/008/ERR6939248/ERR6939248.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR693/008/ERR6939248/ERR6939248.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR693/008/ERR6939248/ERR6939248.fastq.gz"
